"id","sourceIn","sourceOut","targetIn","targetOut","created","flavor","createdAt","updatedAt","nodeId","targetNodeId","userId"
43,32,32,0,7,"2019-06-05 11:46:13.921+02","neutral","2019-06-05 11:46:13.922+02","2019-06-05 11:46:13.922+02",18,48,30
44,33,33,0,8,"2019-06-05 11:46:39.208+02","neutral","2019-06-05 11:46:39.208+02","2019-06-05 11:46:39.208+02",18,49,30
45,34,34,0,6,"2019-06-05 11:47:13.344+02","neutral","2019-06-05 11:47:13.344+02","2019-06-05 11:47:13.344+02",18,50,30
46,35,35,0,12,"2019-06-05 11:47:44.823+02","neutral","2019-06-05 11:47:44.823+02","2019-06-05 11:47:44.823+02",18,51,30
47,35,35,0,10,"2019-06-05 11:47:59.415+02","neutral","2019-06-05 11:47:59.415+02","2019-06-05 11:47:59.415+02",18,52,30
48,39,39,0,9,"2019-06-05 11:48:22.27+02","neutral","2019-06-05 11:48:22.27+02","2019-06-05 11:48:22.27+02",18,53,30
49,40,40,0,8,"2019-06-05 11:48:43.575+02","neutral","2019-06-05 11:48:43.575+02","2019-06-05 11:48:43.575+02",18,54,30
50,43,43,0,10,"2019-06-05 11:49:19.714+02","neutral","2019-06-05 11:49:19.714+02","2019-06-05 11:49:19.714+02",18,55,30
51,44,44,0,11,"2019-06-05 11:49:41.105+02","neutral","2019-06-05 11:49:41.105+02","2019-06-05 11:49:41.105+02",18,56,30
52,44,44,0,10,"2019-06-05 11:49:59.099+02","neutral","2019-06-05 11:49:59.099+02","2019-06-05 11:49:59.099+02",18,57,30
53,47,47,0,9,"2019-06-05 11:50:17.684+02","neutral","2019-06-05 11:50:17.684+02","2019-06-05 11:50:17.684+02",18,58,30
54,47,47,0,12,"2019-06-05 11:50:32.427+02","neutral","2019-06-05 11:50:32.427+02","2019-06-05 11:50:32.427+02",18,59,30
55,49,49,0,7,"2019-06-05 11:50:57.396+02","neutral","2019-06-05 11:50:57.396+02","2019-06-05 11:50:57.396+02",18,60,30
56,50,50,0,11,"2019-06-05 11:51:32.009+02","neutral","2019-06-05 11:51:32.009+02","2019-06-05 11:51:32.009+02",18,61,30
57,53,53,0,9,"2019-06-05 11:52:15.523+02","neutral","2019-06-05 11:52:15.523+02","2019-06-05 11:52:15.523+02",18,62,30
58,55,55,0,11,"2019-06-05 11:52:41.542+02","neutral","2019-06-05 11:52:41.542+02","2019-06-05 11:52:41.542+02",18,63,30
59,57,57,0,7,"2019-06-05 11:53:01.817+02","neutral","2019-06-05 11:53:01.818+02","2019-06-05 11:53:01.818+02",18,64,30
60,58,58,0,7,"2019-06-05 11:53:18.914+02","neutral","2019-06-05 11:53:18.914+02","2019-06-05 11:53:18.914+02",18,65,30
61,60,60,0,10,"2019-06-05 11:53:45.857+02","neutral","2019-06-05 11:53:45.857+02","2019-06-05 11:53:45.857+02",18,66,30
62,63,63,0,9,"2019-06-05 11:54:10.31+02","neutral","2019-06-05 11:54:10.31+02","2019-06-05 11:54:10.31+02",18,67,30
63,63,63,0,4,"2019-06-05 11:54:27.301+02","neutral","2019-06-05 11:54:27.301+02","2019-06-05 11:54:27.301+02",18,68,30
64,67,67,0,8,"2019-06-05 11:54:53.774+02","neutral","2019-06-05 11:54:53.774+02","2019-06-05 11:54:53.774+02",18,69,30
65,68,68,0,7,"2019-06-05 11:55:15.354+02","neutral","2019-06-05 11:55:15.355+02","2019-06-05 11:55:15.355+02",18,70,30
66,70,70,0,5,"2019-06-05 11:55:36.346+02","neutral","2019-06-05 11:55:36.346+02","2019-06-05 11:55:36.346+02",18,71,30
67,71,71,0,8,"2019-06-05 11:55:51.318+02","neutral","2019-06-05 11:55:51.318+02","2019-06-05 11:55:51.318+02",18,72,30
68,72,72,0,7,"2019-06-05 11:56:27.8+02","neutral","2019-06-05 11:56:27.8+02","2019-06-05 11:56:27.8+02",18,73,30
69,75,75,0,7,"2019-06-05 11:56:55.783+02","neutral","2019-06-05 11:56:55.783+02","2019-06-05 11:56:55.783+02",18,74,30
70,70,76,0,10,"2019-06-05 11:57:22.401+02","neutral","2019-06-05 11:57:22.401+02","2019-06-05 11:57:22.401+02",18,75,30
71,70,77,0,7,"2019-06-05 11:57:49.141+02","neutral","2019-06-05 11:57:49.141+02","2019-06-05 11:57:49.141+02",18,76,30
72,79,79,0,10,"2019-06-05 11:58:22.222+02","neutral","2019-06-05 11:58:22.222+02","2019-06-05 11:58:22.222+02",18,77,30
73,80,80,0,9,"2019-06-05 11:58:41.289+02","neutral","2019-06-05 11:58:41.289+02","2019-06-05 11:58:41.289+02",18,78,30
74,83,83,0,8,"2019-06-05 11:59:15.046+02","neutral","2019-06-05 11:59:15.046+02","2019-06-05 11:59:15.046+02",18,79,30
75,84,84,0,5,"2019-06-05 11:59:53.888+02","neutral","2019-06-05 11:59:53.888+02","2019-06-05 11:59:53.888+02",18,80,30
76,85,85,0,2,"2019-06-05 12:00:38.433+02","neutral","2019-06-05 12:00:38.434+02","2019-06-05 12:00:38.434+02",18,81,30
77,86,86,0,9,"2019-06-05 12:01:01.762+02","neutral","2019-06-05 12:01:01.762+02","2019-06-05 12:01:01.762+02",18,82,30
78,87,87,0,11,"2019-06-05 12:01:20.494+02","neutral","2019-06-05 12:01:20.494+02","2019-06-05 12:01:20.494+02",18,83,30
79,90,90,0,9,"2019-06-05 12:02:15.409+02","neutral","2019-06-05 12:02:15.409+02","2019-06-05 12:02:15.409+02",18,84,30
80,91,91,0,7,"2019-06-05 12:02:29.434+02","neutral","2019-06-05 12:02:29.435+02","2019-06-05 12:02:29.435+02",18,85,30
81,94,94,0,10,"2019-06-05 12:02:53.321+02","neutral","2019-06-05 12:02:53.322+02","2019-06-05 12:02:53.322+02",18,86,30
83,95,95,0,10,"2019-06-05 12:03:14.504+02","neutral","2019-06-05 12:03:14.504+02","2019-06-05 12:03:14.504+02",18,88,30
84,98,98,0,9,"2019-06-05 12:03:42.305+02","neutral","2019-06-05 12:03:42.305+02","2019-06-05 12:03:42.305+02",18,89,30
85,99,99,0,12,"2019-06-05 12:03:59.253+02","neutral","2019-06-05 12:03:59.253+02","2019-06-05 12:03:59.253+02",18,90,30
86,101,101,0,11,"2019-06-05 12:04:20.16+02","neutral","2019-06-05 12:04:20.16+02","2019-06-05 12:04:20.16+02",18,91,30
87,102,102,0,8,"2019-06-05 12:04:44.911+02","neutral","2019-06-05 12:04:44.911+02","2019-06-05 12:04:44.911+02",18,92,30
88,104,104,0,11,"2019-06-05 12:05:10.448+02","neutral","2019-06-05 12:05:10.448+02","2019-06-05 12:05:10.448+02",18,93,30
89,106,106,0,6,"2019-06-05 12:05:27.045+02","neutral","2019-06-05 12:05:27.045+02","2019-06-05 12:05:27.045+02",18,94,30
90,108,108,0,8,"2019-06-05 12:05:46.392+02","neutral","2019-06-05 12:05:46.392+02","2019-06-05 12:05:46.392+02",18,95,30
91,109,109,0,8,"2019-06-05 12:06:07.19+02","neutral","2019-06-05 12:06:07.19+02","2019-06-05 12:06:07.19+02",18,96,30
92,112,112,0,7,"2019-06-05 12:06:26.818+02","neutral","2019-06-05 12:06:26.819+02","2019-06-05 12:06:26.819+02",18,97,30
93,113,113,0,8,"2019-06-05 12:06:41.294+02","neutral","2019-06-05 12:06:41.295+02","2019-06-05 12:06:41.295+02",18,98,30
94,114,114,0,8,"2019-06-05 12:07:06.08+02","neutral","2019-06-05 12:07:06.08+02","2019-06-05 12:07:06.08+02",18,99,30
95,114,114,0,6,"2019-06-05 12:07:23.42+02","neutral","2019-06-05 12:07:23.42+02","2019-06-05 12:07:23.42+02",18,100,30
96,118,118,0,10,"2019-06-05 12:07:51.028+02","neutral","2019-06-05 12:07:51.028+02","2019-06-05 12:07:51.028+02",18,101,30
97,118,118,0,10,"2019-06-05 12:07:53.492+02","neutral","2019-06-05 12:07:53.492+02","2019-06-05 12:07:53.492+02",18,102,30
99,1672,1672,0,2429,"2019-06-05 12:47:42.426+02","factChecker","2019-06-05 12:47:42.426+02","2019-06-05 12:47:42.426+02",19,104,3
100,1687,1687,0,190,"2019-06-05 12:52:30.489+02","factChecker","2019-06-05 12:52:30.489+02","2019-06-05 12:52:30.489+02",19,105,3
101,1891,1891,0,1501,"2019-06-05 12:54:11.686+02","neutral","2019-06-05 12:54:11.686+02","2019-06-05 12:54:11.686+02",19,106,2
102,2005,2005,0,377,"2019-06-05 13:05:28.084+02","factChecker","2019-06-05 13:05:28.084+02","2019-06-05 13:05:28.084+02",19,107,3
103,2010,2010,0,133,"2019-06-05 13:11:29.149+02","contra","2019-06-05 13:11:29.149+02","2019-06-05 13:11:29.149+02",19,108,3
104,2162,2162,0,147,"2019-06-05 13:46:02.511+02","factChecker","2019-06-05 13:46:02.511+02","2019-06-05 13:46:02.511+02",19,109,3
105,2320,2320,0,273,"2019-06-05 14:07:16.738+02","contra","2019-06-05 14:07:16.738+02","2019-06-05 14:07:16.738+02",19,110,3
106,2695,2695,0,1655,"2019-06-05 20:44:21.198+02","pro","2019-06-05 20:44:21.199+02","2019-06-05 20:44:21.199+02",19,111,3
107,3023,3023,0,1770,"2019-06-05 20:53:43.606+02","factChecker","2019-06-05 20:53:43.606+02","2019-06-05 20:53:43.606+02",19,112,3
108,1229,1229,0,446,"2019-06-05 21:35:33.728+02","factChecker","2019-06-05 21:35:33.728+02","2019-06-05 21:35:33.728+02",19,113,3
109,2518,2518,0,316,"2019-06-05 21:52:11.2+02","neutral","2019-06-05 21:52:11.2+02","2019-06-05 21:52:11.2+02",19,114,2
111,1262,1262,0,430,"2019-06-05 21:59:03.39+02","factChecker","2019-06-05 21:59:03.39+02","2019-06-05 21:59:03.39+02",19,116,3
112,55,55,0,265,"2019-06-07 18:59:52.863+02","neutral","2019-06-07 18:59:52.863+02","2019-06-07 18:59:52.863+02",1,117,2
113,13,13,0,235,"2019-06-09 23:24:54.431+02","neutral","2019-06-09 23:24:54.437+02","2019-06-09 23:24:54.437+02",118,119,17
114,80,80,0,235,"2019-06-09 23:25:45.467+02","neutral","2019-06-09 23:25:45.467+02","2019-06-09 23:25:45.467+02",118,120,17
115,125,125,0,235,"2019-06-09 23:26:43.285+02","neutral","2019-06-09 23:26:43.285+02","2019-06-09 23:26:43.285+02",118,121,17
116,1,1,0,276,"2019-06-09 23:29:04.142+02","contra","2019-06-09 23:29:04.142+02","2019-06-09 23:29:04.142+02",118,122,17
117,3,3,0,333,"2019-06-09 23:29:58.648+02","neutral","2019-06-09 23:29:58.648+02","2019-06-09 23:29:58.648+02",118,123,17
118,8,8,0,102,"2019-06-09 23:31:25.177+02","neutral","2019-06-09 23:31:25.177+02","2019-06-09 23:31:25.177+02",118,124,17
119,22,22,0,376,"2019-06-09 23:31:58.842+02","neutral","2019-06-09 23:31:58.842+02","2019-06-09 23:31:58.842+02",118,125,17
120,62,62,0,345,"2019-06-09 23:32:52.126+02","neutral","2019-06-09 23:32:52.127+02","2019-06-09 23:32:52.127+02",118,126,17
121,62,62,0,273,"2019-06-09 23:33:22.759+02","neutral","2019-06-09 23:33:22.759+02","2019-06-09 23:33:22.759+02",118,127,17
122,178,178,0,49,"2019-06-09 23:34:17.759+02","neutral","2019-06-09 23:34:17.759+02","2019-06-09 23:34:17.759+02",118,128,17
123,220,220,0,313,"2019-06-09 23:35:03.155+02","neutral","2019-06-09 23:35:03.155+02","2019-06-09 23:35:03.155+02",118,129,17
124,244,244,0,272,"2019-06-09 23:35:44.233+02","neutral","2019-06-09 23:35:44.233+02","2019-06-09 23:35:44.233+02",118,130,17
125,244,244,0,272,"2019-06-09 23:35:55.645+02","neutral","2019-06-09 23:35:55.645+02","2019-06-09 23:35:55.645+02",118,131,17
126,151,151,0,227,"2019-06-09 23:36:57.85+02","neutral","2019-06-09 23:36:57.85+02","2019-06-09 23:36:57.85+02",118,132,17
127,20,20,0,208,"2019-06-09 23:37:40.187+02","neutral","2019-06-09 23:37:40.187+02","2019-06-09 23:37:40.187+02",118,133,17
128,20,30,0,208,"2019-06-09 23:38:04.752+02","neutral","2019-06-09 23:38:04.752+02","2019-06-09 23:38:04.752+02",118,134,17
129,100,100,0,38,"2019-06-09 23:38:36.433+02","neutral","2019-06-09 23:38:36.433+02","2019-06-09 23:38:36.433+02",118,135,17
130,36,36,0,238,"2019-06-09 23:40:00.112+02","neutral","2019-06-09 23:40:00.112+02","2019-06-09 23:40:00.112+02",118,136,17
131,102,102,0,411,"2019-06-09 23:42:40.689+02","neutral","2019-06-09 23:42:40.689+02","2019-06-09 23:42:40.689+02",118,137,17
132,102,102,0,235,"2019-06-09 23:43:05.898+02","neutral","2019-06-09 23:43:05.898+02","2019-06-09 23:43:05.898+02",118,138,17
133,102,102,0,235,"2019-06-09 23:43:20.821+02","neutral","2019-06-09 23:43:20.821+02","2019-06-09 23:43:20.821+02",118,139,17
134,237,237,0,291,"2019-06-09 23:44:06.39+02","neutral","2019-06-09 23:44:06.39+02","2019-06-09 23:44:06.39+02",118,140,17
135,442,442,0,232,"2019-06-10 11:10:53.672+02","neutral","2019-06-10 11:10:53.672+02","2019-06-10 11:10:53.672+02",12,141,14
136,442,442,0,258,"2019-06-10 11:15:13.405+02","neutral","2019-06-10 11:15:13.405+02","2019-06-10 11:15:13.405+02",12,142,14
137,26,26,0,1958,"2019-06-10 23:37:33.824+02","neutral","2019-06-10 23:37:33.824+02","2019-06-10 23:37:33.824+02",118,143,17
138,26,26,0,1958,"2019-06-10 23:37:41.687+02","science","2019-06-10 23:37:41.687+02","2019-06-10 23:37:41.687+02",118,144,17
139,42,42,0,162,"2019-06-13 12:44:12.765+02","contra","2019-06-13 12:44:12.765+02","2019-06-13 12:44:12.765+02",145,146,3
140,45,45,0,1815,"2019-06-13 13:09:47.72+02","factChecker","2019-06-13 13:09:47.72+02","2019-06-13 13:09:47.72+02",145,147,3
141,131,131,0,135,"2019-06-13 13:24:25.115+02","pro","2019-06-13 13:24:25.115+02","2019-06-13 13:24:25.115+02",145,148,3
142,153,153,0,849,"2019-06-13 13:38:34.987+02","factChecker","2019-06-13 13:38:34.987+02","2019-06-13 13:38:34.987+02",145,149,3
143,195,195,0,898,"2019-06-13 14:04:49.412+02","contra","2019-06-13 14:04:49.413+02","2019-06-13 14:04:49.413+02",145,150,3
144,195,195,0,131,"2019-06-13 14:08:22.513+02","contra","2019-06-13 14:08:22.514+02","2019-06-13 14:08:22.514+02",145,151,3
145,239,239,0,1501,"2019-06-13 14:16:31.701+02","pro","2019-06-13 14:16:31.701+02","2019-06-13 14:16:31.701+02",145,152,3
146,293,293,0,135,"2019-06-13 14:32:15.98+02","factChecker","2019-06-13 14:32:15.98+02","2019-06-13 14:32:15.98+02",145,153,3
147,293,293,0,338,"2019-06-13 14:42:56.585+02","pro","2019-06-13 14:42:56.585+02","2019-06-13 14:42:56.585+02",145,154,3
148,293,293,0,128,"2019-06-13 14:44:53.971+02","neutral","2019-06-13 14:44:53.971+02","2019-06-13 14:44:53.971+02",145,155,3
149,350,350,0,491,"2019-06-13 14:52:24.243+02","pro","2019-06-13 14:52:24.243+02","2019-06-13 14:52:24.243+02",145,156,3
150,211,211,0,669,"2019-06-14 10:24:53.307+02","contra","2019-06-14 10:24:53.307+02","2019-06-14 10:24:53.307+02",156,157,3
151,67,67,0,839,"2019-06-14 10:38:54.539+02","pro","2019-06-14 10:38:54.54+02","2019-06-14 10:38:54.54+02",156,158,3
152,472,472,0,1111,"2019-06-14 10:46:55.681+02","factChecker","2019-06-14 10:46:55.681+02","2019-06-14 10:46:55.681+02",145,159,3
153,555,555,0,327,"2019-06-14 11:05:08.17+02","contra","2019-06-14 11:05:08.17+02","2019-06-14 11:05:08.17+02",145,160,3
